archivo,año_extraido,mes_extraido,dia,lluvia_mm
registro 11-2021.jpg,2021,Noviembre,11,0.0
registro 11-2021.jpg,2021,Noviembre,12,0.0
registro 11-2021.jpg,2021,Noviembre,13,0.0
registro 11-2021.jpg,2021,Noviembre,14,0.0
registro 11-2021.jpg,2021,Noviembre,15,0.0
registro 11-2021.jpg,2021,Noviembre,16,0.0
registro 11-2021.jpg,2021,Noviembre,17,10.5
registro 11-2021.jpg,2021,Noviembre,18,19.5
registro 11-2021.jpg,2021,Noviembre,19,3.0
registro 11-2021.jpg,2021,Noviembre,20,0.0
registro 11-2021.jpg,2021,Noviembre,21,0.0
registro 11-2021.jpg,2021,Noviembre,22,0.0
registro 11-2021.jpg,2021,Noviembre,23,0.0
registro 11-2021.jpg,2021,Noviembre,24,0.0
registro 11-2021.jpg,2021,Noviembre,25,0.0
registro 11-2021.jpg,2021,Noviembre,26,12.5
registro 11-2021.jpg,2021,Noviembre,27,0.0
registro 11-2021.jpg,2021,Noviembre,28,9.5
registro 11-2021.jpg,2021,Noviembre,29,0.0
registro 11-2021.jpg,2021,Noviembre,30,0.0
registro 11-2021.jpg,2021,Noviembre,31,0.0
registro 12-2021.jpg,2021,Diciembre,1,0.0
registro 12-2021.jpg,2021,Diciembre,2,0.0
registro 12-2021.jpg,2021,Diciembre,3,0.0
registro 12-2021.jpg,2021,Diciembre,4,0.0
registro 12-2021.jpg,2021,Diciembre,5,0.0
registro 12-2021.jpg,2021,Diciembre,6,0.0
registro 12-2021.jpg,2021,Diciembre,7,0.0
registro 12-2021.jpg,2021,Diciembre,8,0.0
registro 12-2021.jpg,2021,Diciembre,9,0.0
registro 12-2021.jpg,2021,Diciembre,10,0.0
registro 12-2021.jpg,2021,Diciembre,11,0.0
registro 12-2021.jpg,2021,Diciembre,12,0.0
registro 12-2021.jpg,2021,Diciembre,13,0.0
registro 12-2021.jpg,2021,Diciembre,14,2.5
registro 12-2021.jpg,2021,Diciembre,15,5.0
registro 12-2021.jpg,2021,Diciembre,16,0.0
registro 12-2021.jpg,2021,Diciembre,17,0.0
registro 12-2021.jpg,2021,Diciembre,18,0.0
registro 12-2021.jpg,2021,Diciembre,19,0.0
registro 12-2021.jpg,2021,Diciembre,20,0.0
registro 12-2021.jpg,2021,Diciembre,21,0.0
registro 12-2021.jpg,2021,Diciembre,22,0.0
registro 12-2021.jpg,2021,Diciembre,23,0.0
registro 12-2021.jpg,2021,Diciembre,24,0.0
registro 12-2021.jpg,2021,Diciembre,25,0.0
registro 12-2021.jpg,2021,Diciembre,26,0.0
registro 12-2021.jpg,2021,Diciembre,27,0.0
registro 12-2021.jpg,2021,Diciembre,28,0.0
registro 12-2021.jpg,2021,Diciembre,29,0.0
registro 12-2021.jpg,2021,Diciembre,30,39.0
registro 12-2021.jpg,2021,Diciembre,31,46.9
Registro lluvias 10-2022 001.jpg,2022,octubre,1,15.2
Registro lluvias 10-2022 001.jpg,2022,octubre,2,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,3,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,4,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,5,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,6,75.0
Registro lluvias 10-2022 001.jpg,2022,octubre,7,8.6
Registro lluvias 10-2022 001.jpg,2022,octubre,8,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,9,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,10,10.5
Registro lluvias 10-2022 001.jpg,2022,octubre,11,26.5
Registro lluvias 10-2022 001.jpg,2022,octubre,12,20.5
Registro lluvias 10-2022 001.jpg,2022,octubre,13,6.0
Registro lluvias 10-2022 001.jpg,2022,octubre,14,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,15,3.0
Registro lluvias 10-2022 001.jpg,2022,octubre,16,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,17,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,18,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,19,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,20,19.6
Registro lluvias 10-2022 001.jpg,2022,octubre,21,40.5
Registro lluvias 10-2022 001.jpg,2022,octubre,22,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,23,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,24,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,25,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,26,15.0
Registro lluvias 10-2022 001.jpg,2022,octubre,27,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,28,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,29,32.5
Registro lluvias 10-2022 001.jpg,2022,octubre,30,0.0
Registro lluvias 10-2022 001.jpg,2022,octubre,31,9.0
registro 01-2022.jpg,2022,Enero,1,0.0
registro 01-2022.jpg,2022,Enero,2,0.0
registro 01-2022.jpg,2022,Enero,3,3.8
registro 01-2022.jpg,2022,Enero,4,0.0
registro 01-2022.jpg,2022,Enero,5,1.8
registro 01-2022.jpg,2022,Enero,6,0.0
registro 01-2022.jpg,2022,Enero,7,0.0
registro 01-2022.jpg,2022,Enero,8,9.5
registro 01-2022.jpg,2022,Enero,9,6.5
registro 01-2022.jpg,2022,Enero,10,2.5
registro 01-2022.jpg,2022,Enero,11,0.0
registro 01-2022.jpg,2022,Enero,12,0.0
registro 01-2022.jpg,2022,Enero,13,0.0
registro 01-2022.jpg,2022,Enero,14,57.0
registro 01-2022.jpg,2022,Enero,15,0.3
registro 01-2022.jpg,2022,Enero,16,0.0
registro 01-2022.jpg,2022,Enero,17,0.0
registro 01-2022.jpg,2022,Enero,18,0.0
registro 01-2022.jpg,2022,Enero,19,0.0
registro 01-2022.jpg,2022,Enero,20,0.0
registro 01-2022.jpg,2022,Enero,21,0.0
registro 01-2022.jpg,2022,Enero,22,0.0
registro 01-2022.jpg,2022,Enero,23,0.0
registro 01-2022.jpg,2022,Enero,24,0.8
registro 01-2022.jpg,2022,Enero,25,0.0
registro 01-2022.jpg,2022,Enero,26,0.0
registro 01-2022.jpg,2022,Enero,27,5.5
registro 01-2022.jpg,2022,Enero,28,0.0
registro 01-2022.jpg,2022,Enero,29,0.0
registro 01-2022.jpg,2022,Enero,30,0.0
registro 01-2022.jpg,2022,Enero,31,0.0
registro 02-2022.jpg,2022,Febrero,1,0.0
registro 02-2022.jpg,2022,Febrero,2,0.0
registro 02-2022.jpg,2022,Febrero,3,0.0
registro 02-2022.jpg,2022,Febrero,4,10.5
registro 02-2022.jpg,2022,Febrero,5,7.5
registro 02-2022.jpg,2022,Febrero,6,14.0
registro 02-2022.jpg,2022,Febrero,7,0.0
registro 02-2022.jpg,2022,Febrero,8,0.0
registro 02-2022.jpg,2022,Febrero,9,0.0
registro 02-2022.jpg,2022,Febrero,10,2.5
registro 02-2022.jpg,2022,Febrero,11,0.0
registro 02-2022.jpg,2022,Febrero,12,0.0
registro 02-2022.jpg,2022,Febrero,13,0.0
registro 02-2022.jpg,2022,Febrero,14,0.0
registro 02-2022.jpg,2022,Febrero,15,0.0
registro 02-2022.jpg,2022,Febrero,16,0.0
registro 02-2022.jpg,2022,Febrero,17,0.0
registro 02-2022.jpg,2022,Febrero,18,0.0
registro 02-2022.jpg,2022,Febrero,19,0.0
registro 02-2022.jpg,2022,Febrero,20,909.0
registro 02-2022.jpg,2022,Febrero,21,9.5
registro 02-2022.jpg,2022,Febrero,22,28.5
registro 02-2022.jpg,2022,Febrero,23,0.0
registro 02-2022.jpg,2022,Febrero,24,0.0
registro 02-2022.jpg,2022,Febrero,25,29.8
registro 02-2022.jpg,2022,Febrero,26,0.0
registro 02-2022.jpg,2022,Febrero,27,0.0
registro 02-2022.jpg,2022,Febrero,28,0.0
registro 02-2022.jpg,2022,Febrero,29,0.0
registro 02-2022.jpg,2022,Febrero,30,0.0
registro 02-2022.jpg,2022,Febrero,31,0.0
registro 03-2022.jpg,2022,Marzo,1,0.0
registro 03-2022.jpg,2022,Marzo,2,0.0
registro 03-2022.jpg,2022,Marzo,3,2.0
registro 03-2022.jpg,2022,Marzo,4,0.0
registro 03-2022.jpg,2022,Marzo,5,0.0
registro 03-2022.jpg,2022,Marzo,6,0.0
registro 03-2022.jpg,2022,Marzo,7,0.0
registro 03-2022.jpg,2022,Marzo,8,11.8
registro 03-2022.jpg,2022,Marzo,9,0.0
registro 03-2022.jpg,2022,Marzo,10,16.0
registro 03-2022.jpg,2022,Marzo,11,42.5
registro 03-2022.jpg,2022,Marzo,12,0.0
registro 03-2022.jpg,2022,Marzo,13,0.0
registro 03-2022.jpg,2022,Marzo,14,0.0
registro 03-2022.jpg,2022,Marzo,15,0.0
registro 03-2022.jpg,2022,Marzo,16,0.0
registro 03-2022.jpg,2022,Marzo,17,0.0
registro 03-2022.jpg,2022,Marzo,18,16.3
registro 03-2022.jpg,2022,Marzo,19,0.0
registro 03-2022.jpg,2022,Marzo,20,0.0
registro 03-2022.jpg,2022,Marzo,21,0.0
registro 03-2022.jpg,2022,Marzo,22,65.5
registro 03-2022.jpg,2022,Marzo,23,114.5
registro 03-2022.jpg,2022,Marzo,24,48.0
registro 03-2022.jpg,2022,Marzo,25,0.0
registro 03-2022.jpg,2022,Marzo,26,0.0
registro 03-2022.jpg,2022,Marzo,27,0.0
registro 03-2022.jpg,2022,Marzo,28,0.0
registro 03-2022.jpg,2022,Marzo,29,0.0
registro 03-2022.jpg,2022,Marzo,30,16.0
registro 03-2022.jpg,2022,Marzo,31,17.0
registro 04-2022.jpg,2022,Abril,1,0.0
registro 04-2022.jpg,2022,Abril,2,0.0
registro 04-2022.jpg,2022,Abril,3,0.0
registro 04-2022.jpg,2022,Abril,4,70.0
registro 04-2022.jpg,2022,Abril,5,0.0
registro 04-2022.jpg,2022,Abril,6,5.5
registro 04-2022.jpg,2022,Abril,7,2.5
registro 04-2022.jpg,2022,Abril,8,28.0
registro 04-2022.jpg,2022,Abril,9,0.0
registro 04-2022.jpg,2022,Abril,10,0.0
registro 04-2022.jpg,2022,Abril,11,60.0
registro 04-2022.jpg,2022,Abril,12,70.0
registro 04-2022.jpg,2022,Abril,13,0.0
registro 04-2022.jpg,2022,Abril,14,0.0
registro 04-2022.jpg,2022,Abril,15,0.0
registro 04-2022.jpg,2022,Abril,16,0.0
registro 04-2022.jpg,2022,Abril,17,0.0
registro 04-2022.jpg,2022,Abril,18,0.0
registro 04-2022.jpg,2022,Abril,19,0.0
registro 04-2022.jpg,2022,Abril,20,0.0
registro 04-2022.jpg,2022,Abril,21,0.0
registro 04-2022.jpg,2022,Abril,22,30.0
registro 04-2022.jpg,2022,Abril,23,60.5
registro 04-2022.jpg,2022,Abril,24,0.0
registro 04-2022.jpg,2022,Abril,25,0.0
registro 04-2022.jpg,2022,Abril,26,0.0
registro 04-2022.jpg,2022,Abril,27,0.0
registro 04-2022.jpg,2022,Abril,28,0.0
registro 04-2022.jpg,2022,Abril,29,2.5
registro 04-2022.jpg,2022,Abril,30,0.0
registro 04-2022.jpg,2022,Abril,31,0.0
registro 05-2022.jpg,2022,Marzo,1,51.0
registro 05-2022.jpg,2022,Marzo,2,8.0
registro 05-2022.jpg,2022,Marzo,3,38.5
registro 05-2022.jpg,2022,Marzo,4,7.5
registro 05-2022.jpg,2022,Marzo,5,1.8
registro 05-2022.jpg,2022,Marzo,6,0.0
registro 05-2022.jpg,2022,Marzo,7,0.0
